topic_id,collection_count,beatmap_count,collection_names,beatmap_names
0,302,33322,from broiiler to akolibed (9022) | farm (4719) | STREAM FARM (REALLY?) (2622) | Nezábavné mapy :D (9085) | Tegrität Farm (10256),Come With Me To The Other Side (feat. Liv Kristine) | Twilight Skies | Martyr of the Free Word | Chronostasis | Shoujo Kisoukyoku ~ Speed Battle | DRAGON FORCE | Black Pentagram | Hades: The end | Defenders | Vampir / Opfer | Above the Winter Moonlight | Uta | Pure Furies ~ Vengeance is Mine | REASON | March of War / Axe of Judgement | Genryuu Kaiko | Knight of Sword | Generations | With Fire and Sword (2013) | Symphony of the Night
1,135,1177,KEYEND 3 DIGITOS 19/08/24 (10998) | Farm (11612) | Siete hddt (10381) | -DT farm maps (8631) | 500-549 +DT (6111),Bye Bye YESTERDAY | DANZEN! Futari wa PreCure Ver. MaxHeart (TV Size) | Kuchizuke Diamond | Bombs away | Marshmary | POP/STARS | ya zhenyus' na devochke iz anime | Saigo made II (TV Size) | Kira Kira Days (Cut Ver.) | Heart Goes Boom!! [GAME Mix] | Kanpeki Gu~no ne (TV Size) | Tsunagaru Connect (TV Size) | IGNITE (TV Size) | Heart Realize (TV Size) | American Girls (Speed Up Ver.) | AaAaAaAAaAaAAa | Sentou! Champion | HIKARI (TV Size) | Yubi Bouenkyou ~Anime-ban~ | Congrathalations! (Cut Ver.)
2,266,2302,actually good maps (514) | flow aim (9165) | flow aim (2618) | .alt (8592) | //les maps cool (1298),Prayer | Koko Soko (AKIBA KOUBOU Eurobeat Remix) | Sakkyokusuru Nara Ima no Uchi! | w/WWW feat. Hoshimiya Toto | ito | Hijitsuzaikei Joshitachi wa Dou Surya Ii Desu ka? | Undercover Martyn | Justice Monster | Akari ga Yattekita zo | Daisuke | GAS GAS GAS | 7 Colors | Keshin | White Prism | HiT! HiT! HiT! | Bi | Technical Master | Kono Yubi Tomare | N.M.W | Dareka no Shinzou ni Nareta Nara
3,0,0,300bpm (19194) | 290bpm (19193) | 280bpm (19192) | 270bpm (19191) | 260bpm (19190),Yuuaku no Inori - Anima immortalis est. - | Take Me Home | Christmas Slop | Christmas Slop | Christmas Slop | Christmas Slop | Christmas Slop | Christmas Slop | Christmas Slop | Christmas Slop | Christmas Slop | Christmas Slop | Christmas Slop | Christmas Slop | Christmas Slop | Christmas Slop | Christmas Slop | Gumbarlzo! | the Tower of NIRV | Zephyrs
4,201,2088,Aim (10098) | # .- 4aim (13838) | My favorites jump map (5983) | Jump Map's (7964) | 8-10* Aim Map Collection (7389),Go Go Carlito (Who's That Boy?) | Warriors | Ao to Natsu (katagiri Bootleg) (Sped Up Ver.) | Kigurumi Sungeki | Sendan Life (katagiri Bootleg) | Trust Nothing but Love | Rat's Birthday Mixtape | Kizuitara Shunkashuutou | Sendan Life (katagiri Bootleg) | Crazy banger | Work (Breeze You'Nasty Remix) | Insight | Busta Rhymes Goes To The Wii Shop Channel | Win The Race | Katayoku no tori | Poco Loco | Kegare Naki Bara Juuji | In The Middle Of The Night (Speed Up Ver.) | DADADADADADADADADADA (Long Version) | Armed and Ready
5,239,3788,speed (10515) | speed (323) | +abog (speed archive) (4088) | !!!SPEED (1231) | kuu02 (5489),Airplanes (Feint Remix) | Airman ga Taosenai (SOUND HOLIC Ver.) | ChaiN De/structioN | Catastrophe | Omega Rhythm | Okaerinasai (tomatomerde Remix) | SLoWMoTIoN | Hanairo Biyori | Watercolour (Radio Edit) | Fantastic future | Mystic Oriental Love Consultation | Set Me Free | Aitakatta Sora | Renatus | Unmei no Dark Side -Rolling Gothic mix | Genryuu Kaiko | Hitomi ni Kakusareta Omoi | Hot Right Now (Radio Edit) | Mynarco Addiction | The Island (MaxNRG Remix)
6,94,1410,stream practice (17550) | stream - stamina (11193) | stream tools (11662) | stamina (12622) | 2. контроль жим пак  (16244),FUTURE DOMINATORS | thing | thing 3 (drum and based edition) | thing | thing 2 | thing 2 | thing 3 (drum and based edition) | thing 4 | thing 2 | thing | thing 3 (drum and based edition) | 200BPM Stream Compilation | Crimsonic dimension | CYBER INDUCTANCE | thing 4 | Nyan-Nyan Naughty Night | thing 4 | No Worries (Hybrid Minds Remix) | We Got It (feat. Rothwell) | No Worries (Hybrid Minds Remix)
7,140,1331,akolibed pp farm  (9159) | .consistency (12821) | o!c - Starbrush - consistency maps (10172) | 300-400pp consistency (7447) | noncicredo32 - .consistency (12824),affection | one | Atashi no Nokori Zenbu Ageru | Light for Knight | Twintail Dreamer! | Cherry Bomb | Kimi no Tonari de | Gareki no Shuuon | Core of Spark | Reason!! | Stage of Star | TWiNKLE CiRCLE | Kessen Spirit | R | Light Delight | Shinoburedo | Art as <3 | 1000-kai Urunda Sora | Control | It's you
8,191,2668,                     tech (5099) | Ranked & Loved Tech (2132) | Ranked Camellia Maps (5315) | 1d. tech (1462) | a list of a majority of camellia maps (tech) (5994),"LET'S JUMP (Camellia's ""diffractive"" Hardcore Remix) | Exit This Earth's Atomosphere (Camellia's ''PLANETARY//200STEP'' Remix) | WHAT THE CAT!? | Exit This Earth's Atomosphere | Burnt Rice (Aiobahn & Jh-Anu Remix) | We Could Get More Machinegun Psystyle! (And More Genre Switches) | senpai  notice me! | Bassline Yatteru? w | Rawstyle Bomb | OOPARTS | DON'T GIVE A FUCK | Upload Your Mind :: Download My Soul | Boogie | flower of wilderness | Speedrun | Dans la mer de son | FM Synthesis Experiment | Key of timepieces | Reality Distortion | ANOMALY"
9,249,3702,alt maps (1116) |  o!c - Kynexiz Alt/Flow (7309) |  Alt (3512) | 1c. alt (1461) | dt alt (14524),Dance Number o Tomo ni | With a Dance Number | Meikaruza | Scarlet Rose | Alternator Compilation | Make a Loser | Andromeda | Hurting for a Very Hurtful Pain | Senbonzakura | Sugar Song to Bitter Step | Akari ga Yattekita zo | anoko dokonoko | Kyouran Hey Kids!! | JoJo ~Sono Chi no Sadame~ Archetype MIX Ver. | Jinsei wa Hoeru | Hotohashiru | Cruel CRuEL | envidia | Invasion of stray cats | No 39
